sample=123
orig_idx	token_id	token_str	shap_value
0	6192	eleven	2.64981
75	6192	eleven	1.57135
117	1107	unfortunately	1.50801
21	5420	wearing	1.30315
89	1671	applied	1.25356
85	686	same	1.05717
68	199	?	1.05684
109	199	?	1.02394
99	1928	someone	1.0019
59	5888	knew	0.779199
100	1375	asked	0.689502
112	25080	responds	0.685007
26	14205	mischief	0.665561
14	751	hero	0.656148
54	122	just	0.616392
12	3587	became	0.576248
7	23	his	0.555178
63	2182	party	0.499627
107	628	making	0.49474
34	2518	mask	0.394239
88	248	been	0.377782
6	408	released	0.369232
31	2518	mask	0.347628
97	2518	mask	0.342094
29	4	'	0.325634
37	7185	jim	0.309293
121	442	doesn	0.291635
122	4	'	0.290378
22	31	the	0.192764
114	2	i	0.180751
72	574	!	0.173576
96	31	the	0.172686
70	2	i	0.172272
116	574	!	0.160921
33	31	the	0.157378
90	7	to	0.155756
81	7	to	0.153185
84	31	the	0.148914
39	7	to	0.148007
40	31	the	0.138412
13	31	the	0.136882
46	9	a	0.12689
120	3996	answer	0.126426
61	7	to	0.125901
124	4564	cover	0.116421
4	2843	stanley	0.115099
91	31	the	0.112729
19	6849	finding	0.105922
93	71	movie	0.103713
101	404	director	0.101314
98	18	.	0.0999951
57	18	.	0.091602
48	5781	popular	0.0850348
64	18	.	0.0760225
66	18	.	0.0759261
32	18	.	0.0630865
86	16471	philosophy	0.0588528
43	1525	comedy	0.017575
35	1100	helped	0.0173593
95	11	of	-0.0545494
25	11	of	-0.0600355
15	11	of	-0.0677986
79	47	it	-0.0833617
8	274	true	-0.0868521
126	15	because	-0.0941228
127	487	after	-0.0954773
42	11	of	-0.0966724
94	2149	son	-0.107407
50	222	for	-0.109052
10	3817	self	-0.138674
125	47	it	-0.14029
71	3387	gotta	-0.14506
102	16098	lawrence	-0.175595
105	226	are	-0.176081
80	210	seems	-0.193248
78	14	,	-0.199342
115	3387	gotta	-0.199437
77	565	later	-0.204114
2	690	ago	-0.212994
119	42	that	-0.216292
27	14	,	-0.220242
87	416	has	-0.221114
83	42	that	-0.229257
111	370	he	-0.230989
108	70	this	-0.241383
36	473	bring	-0.256003
74	14	,	-0.263493
24	1876	god	-0.270201
47	67	very	-0.271148
118	14	,	-0.271172
3	14	,	-0.278222
123	5	t	-0.281006
106	310	you	-0.297777
18	167	by	-0.31605
60	91	how	-0.387118
53	33	and	-0.402395
52	6970	originality	-0.407291
41	4121	forefront	-0.437273
110	33	and	-0.455184
51	282	its	-0.473652
11	33	and	-0.489465
44	33	and	-0.518151
113	1	<unk>	-0.522216
67	1124	why	-0.530666
9	3588	inner	-0.530912
103	1	<unk>	-0.537862
58	677	everyone	-0.542627
92	615	new	-0.544479
76	553	years	-0.544685
49	6278	status	-0.568676
65	1	<unk>	-0.573017
20	33	and	-0.57302
104	1124	why	-0.581333
30	152	s	-0.593962
56	2638	fun	-0.598097
69	1	<unk>	-0.615518
38	6632	carrey	-0.644142
16	2990	edge	-0.663621
28	1	<unk>	-0.691196
5	1	<unk>	-0.755452
55	1328	pure	-0.758676
62	4404	spell	-0.831145
1	553	years	-0.84947
82	331	me	-0.928348
17	941	city	-0.93332
23	1154	norse	-0.953827
73	373	now	-0.999218
45	10217	reached	-1.21542
