feature_idx,token_id,shap_value
0,82,-0.292298
1,31,0.317009
2,15013,0.911557
3,14,-0.304812
4,2138,0.350674
5,5497,-0.742307
6,4426,-1.40639
7,88,0.302389
8,135,-0.396724
9,177,0.960819
10,11,-0.104881
11,31,0.19101
12,1525,-0.0202401
13,289,-0.578919
14,126,0.364271
15,559,1.09286
16,827,0.479612
17,145,-0.433756
18,5408,0.629981
19,33,-0.434397
20,5409,0.130386
21,14,-0.205291
22,12445,-0.638343
23,4758,0.0121876
24,33,-0.535026
25,31,0.205034
26,115,-0.69153
27,1,-0.56086
28,18,0.0289573
29,44,0.130288
30,11,-0.0825662
31,821,0.216343
32,25,0.524346
33,226,-0.269745
34,8229,-0.0322299
35,33,-0.416595
36,19,0.573822
37,5528,-0.425772
38,31,0.211788
39,364,0.624492
40,11,-0.0878648
41,552,-0.509771
42,18,0.0562279
43,156,-0.0387993
44,14,-0.167482
45,9,0.134581
46,20808,-0.138411
47,5497,-0.520039
48,648,-0.687131
49,88,0.260298
50,31,0.236028
51,17303,0.209447
52,11,-0.104298
53,15960,-0.310128
54,6181,-0.713115
55,33,-0.403135
56,1,-0.665993
57,19224,0.264496
58,236,-0.171453
59,565,-0.201749
60,14,-0.213485
61,6181,-0.632886
62,88,0.289461
63,24052,-0.206998
64,126,0.301172
65,31,0.16585
66,6865,1.66719
67,6638,-0.154403
68,1,-0.619001
69,15144,-0.824556
70,254,0.520491
71,18,0.0558285
72,589,-0.385791
73,145,-0.386412
74,2,0.14922
75,2228,0.773991
76,14,-0.220943
77,2,0.132543
78,122,0.682736
79,40,0.0732176
80,4,0.438263
81,5,-0.217856
82,3547,-0.66547
83,821,0.228984
84,1,-0.537294
85,122,0.582781
86,5308,0.297088
87,4,0.316335
88,5,-0.316868
89,343,0.530256
90,18,0.0417957
91,4764,0.279051
92,14,-0.188693
93,2058,-0.177639
94,5408,0.522257
95,33,-0.383758
96,5409,0.139779
97,14,-0.160668
98,158,0.698591
99,88,0.229815
100,17,0.458121
101,268,0.502094
102,12412,-1.40532
103,11,-0.0636703
104,4729,-0.629693
105,790,-0.522476
106,6181,-0.728386
107,33,-0.399867
108,708,-0.0817624
109,595,-0.405984
110,7638,0.248882
111,18,0.062691
112,604,0.130146
113,310,-0.202973
114,122,0.682847
115,1092,-0.622947
116,2,0.135656
117,16,0.243481
118,9,0.10968
119,1,-0.497109
120,14,-0.189986
121,1553,-0.102585
122,42,-0.241283
123,2,0.148675
124,19,0.555408
125,1065,0.451227
126,33,-0.495727
127,11544,0.781675
